Datetime,Open,High,Low,Close,Volume
2025-09-01T20:00:00.000+0000,109.38,109.65,106.44,107.13,17280.289
2025-09-01T22:00:00.000+0000,107.11,108.76,106.7,108.72,5003.953
2025-09-02T00:00:00.000+0000,108.74,109.78,108.59,109.4,4105.787
2025-09-02T02:00:00.000+0000,109.38,110.38,109.01,110.31,5401.165
2025-09-02T04:00:00.000+0000,110.32,110.74,110.15,110.59,2053.55
2025-09-02T06:00:00.000+0000,110.6,111.27,110.39,110.55,4511.411
2025-09-02T08:00:00.000+0000,110.52,111.01,110.23,110.51,1399.358
2025-09-02T10:00:00.000+0000,110.48,110.96,110.23,110.36,2317.617
2025-09-02T12:00:00.000+0000,110.36,111.68,108.73,111.61,10117.518
2025-09-02T14:00:00.000+0000,111.65,111.98,109.51,109.56,3988.981
2025-09-02T16:00:00.000+0000,109.57,110.95,109.57,110.37,2218.368
2025-09-02T18:00:00.000+0000,110.35,110.44,109.34,109.45,3466.423
2025-09-02T20:00:00.000+0000,109.46,112.07,109.46,112.02,4901.336
2025-09-02T22:00:00.000+0000,112.04,112.04,111.35,111.77,1826.14
2025-09-03T00:00:00.000+0000,111.78,112.23,110.83,111.46,2018.017
2025-09-03T02:00:00.000+0000,111.49,111.73,111.09,111.46,1869.4
2025-09-03T04:00:00.000+0000,111.44,111.62,111.08,111.34,2070.016
2025-09-03T06:00:00.000+0000,111.32,111.78,110.89,111.77,1685.119
2025-09-03T08:00:00.000+0000,111.77,112.3,111.49,112.3,1530.073
2025-09-03T10:00:00.000+0000,112.31,112.5,111.88,111.88,764.425
2025-09-03T12:00:00.000+0000,111.93,112.87,111.51,112.47,1199.05
2025-09-03T14:00:00.000+0000,112.52,113.28,112.19,112.89,3991.876
2025-09-03T16:00:00.000+0000,112.87,113.19,112.23,112.67,1796.986
2025-09-03T18:00:00.000+0000,112.67,112.76,112.19,112.76,579.609
2025-09-03T20:00:00.000+0000,112.77,112.99,112.39,112.96,1189.32
2025-09-03T22:00:00.000+0000,112.99,113.27,112.82,112.96,1333.975
2025-09-04T00:00:00.000+0000,113.0,113.47,112.57,112.9,837.086
2025-09-04T02:00:00.000+0000,112.93,112.98,111.62,111.64,1310.233
2025-09-04T04:00:00.000+0000,111.68,111.9,110.9,111.18,1609.273
2025-09-04T06:00:00.000+0000,111.16,111.48,110.84,111.37,1968.065
2025-09-04T08:00:00.000+0000,111.38,111.58,110.88,111.12,1639.412
2025-09-04T10:00:00.000+0000,111.15,111.54,110.78,111.05,954.417
2025-09-04T12:00:00.000+0000,111.03,111.48,110.44,110.76,2331.541
2025-09-04T14:00:00.000+0000,110.74,110.77,109.74,110.04,4002.554
2025-09-04T16:00:00.000+0000,110.03,110.32,109.63,109.99,1398.713
